Name,Requests/s,Median Response Time,95%,Max Response Time,Failure Count,Users
/health,0.8133443476234654,2,8,28.244144999916895,0,10
/v1/predict,4.100611085934971,7,15,30.900009999982103,0,10
Aggregated,4.913955433558437,7,14,30.900009999982103,0,10
/health,4.77831349064305,2,13,56.83951999992587,0,50
/v1/predict,19.7401958035431,7,15,59.0011650000406,0,50
Aggregated,24.51850929418615,7,15,59.0011650000406,0,50
/health,9.670745086122272,2,20,110.39819300003728,0,100
/v1/predict,39.47899613966903,8,23,110.00637099994036,0,100
Aggregated,49.1497412257913,7,23,110.39819300003728,0,100
